,title,conference,year,authors,abstract,pdf_path,pdf_url,code_url,relevant,tran_flag
0,Language Embedded 3D Gaussians for Open-Vocabulary Scene Understanding,CVPR,2024,"Jin-Chuan Shi, Miao Wang, Hao-Bin Duan, Shao-Hua Guan",Open-vocabulary querying in 3D space is challenging but essential for scene understanding tasks such as object localization and segmentation. Language-embedded scene representations have made progress by incorporating language features into 3D spaces. However their efficacy heavily depends on neural networks that are resource-intensive in training and rendering. Although recent 3D Gaussians offer efficient and high-quality novel view synthesis directly embedding language features in them leads to prohibitive memory usage and decreased performance. In this work we introduce Language Embedded 3D Gaussians a novel scene representation for open-vocabulary query tasks. Instead of embedding high-dimensional raw semantic features on 3D Gaussians we propose a dedicated quantization scheme that drastically alleviates the memory requirement and a novel embedding procedure that achieves smoother yet high accuracy query countering the multi-view feature inconsistencies and the high-frequency inductive bias in point-based representations. Our comprehensive experiments show that our representation achieves the best visual quality and language querying accuracy across current language-embedded representations while maintaining real-time rendering frame rates on a single desktop GPU.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Shi_Language_Embedded_3D_Gaussians_for_Open-Vocabulary_Scene_Understanding_CVPR_2024_paper.pdf,,2,在三维空间中进行开放式词汇查询对于场景理解任务（如目标定位和分割）是具有挑战性但必不可少的。语言嵌入式场景表示通过将语言特征融入三维空间中取得了进展。然而，它们的有效性严重依赖于训练和渲染中资源密集型的神经网络。尽管最近的三维高斯模型提供了高效且高质量的新视角合成，但直接将语言特征嵌入其中会导致内存使用过大和性能下降。在这项工作中，我们引入了一种新颖的场景表示——语言嵌入式三维高斯模型，用于开放式词汇查询任务。我们提出了一种专门的量化方案，大大减轻了内存需求，并提出了一种新颖的嵌入过程，实现了更平滑但又高准确度的查询，对抗多视图特征不
1,Sparse Semi-DETR: Sparse Learnable Queries for Semi-Supervised Object Detection,CVPR,2024,"Tahira Shehzadi, Khurram Azeem Hashmi, Didier Stricker, Muhammad Zeshan Afzal",In this paper we address the limitations of the DETR-based semi-supervised object detection (SSOD) framework particularly focusing on the challenges posed by the quality of object queries. In DETR-based SSOD the one-to-one assignment strategy provides inaccurate pseudo-labels while the one-to-many assignments strategy leads to overlapping predictions. These issues compromise training efficiency and degrade model performance especially in detecting small or occluded objects. We introduce Sparse Semi-DETR a novel transformer-based end-to-end semi-supervised object detection solution to overcome these challenges. Sparse Semi-DETR incorporates a Query Refinement Module to enhance the quality of object queries significantly improving detection capabilities for small and partially obscured objects. Additionally we integrate a Reliable Pseudo-Label Filtering Module that selectively filters high-quality pseudo-labels thereby enhancing detection accuracy and consistency. On the MS-COCO and Pascal VOC object detection benchmarks Sparse Semi-DETR achieves a significant improvement over current state-of-the-art methods that highlight Sparse Semi-DETR's effectiveness in semi-supervised object detection particularly in challenging scenarios involving small or partially obscured objects.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Shehzadi_Sparse_Semi-DETR_Sparse_Learnable_Queries_for_Semi-Supervised_Object_Detection_CVPR_2024_paper.pdf,,1,本文讨论了基于DETR的半监督目标检测(SSOD)框架的局限性，特别关注对象查询质量带来的挑战。在基于DETR的SSOD中，一对一分配策略提供不准确的伪标签，而一对多分配策略会导致重叠预测。这些问题影响了训练效率，并且尤其在检测小型或遮挡对象时降低了模型性能。我们引入了Sparse Semi-DETR，这是一种新颖的基于变压器的端到端半监督目标检测解决方案，用于克服这些挑战。Sparse Semi-DETR包含一个查询精化模块，显著提高了对象查询的质量，从而改善了对小型和部分遮挡对象的检测能力。此外，我们还整合了一个可靠的伪标签筛选模块，有选择地过滤高质量的伪标签，从而提高
2,Florence-2: Advancing a Unified Representation for a Variety of Vision Tasks,CVPR,2024,"Bin Xiao, Haiping Wu, Weijian Xu, Xiyang Dai, Houdong Hu, Yumao Lu, Michael Zeng, Ce Liu, Lu Yuan",We introduce Florence-2 a novel vision foundation model with a unified prompt-based representation for various computer vision and vision-language tasks. While existing large vision models excel in transfer learning they struggle to perform diverse tasks with simple instructions a capability that implies handling the complexity of various spatial hierarchy and semantic granularity. Florence-2 was designed to take text-prompt as task instructions and generate desirable results in text forms whether it be captioning object detection grounding or segmentation. This multi-task learning setup demands large-scale high-quality annotated data. To this end we co-developed FLD-5B that consists of 5.4 billion comprehensive visual annotations on 126 million images using an iterative strategy of automated image annotation and model refinement. We adopted a sequence-to-sequence structure to train Florence-2 to perform versatile and comprehensive vision tasks. Extensive evaluations on numerous tasks demonstrated Florence-2 to be a strong vision foundation model contender with unprecedented zero-shot and fine-tuning capabilities.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Xiao_Florence-2_Advancing_a_Unified_Representation_for_a_Variety_of_Vision_CVPR_2024_paper.pdf,,2,我们介绍了一种名为Florence-2的新型视觉基础模型，具有统一的基于提示的表示，适用于各种计算机视觉和视觉-语言任务。现有的大型视觉模型擅长迁移学习，但在执行简单指令的多样任务时往往遇到困难，这意味着处理各种空间层次和语义粒度的复杂性。Florence-2被设计为以文本提示作为任务说明，并生成文本形式的理想结果，无论是字幕、目标检测、定位还是分割。这种多任务学习设置需要大规模高质量的带标注数据。因此，我们共同开发了FLD-5B，其中包含了540亿个综合的视觉标注，涵盖了1.26亿张图像，采用了自动图像标注和模型精化的迭代策略。我们采用了序列到序列结构来训练Florence-2执行多功能综合
3,AnySkill: Learning Open-Vocabulary Physical Skill for Interactive Agents,CVPR,2024,"Jieming Cui, Tengyu Liu, Nian Liu, Yaodong Yang, Yixin Zhu, Siyuan Huang",Traditional approaches in physics-based motion generation centered around imitation learning and reward shaping often struggle to adapt to new scenarios. To tackle this limitation we propose AnySkill a novel hierarchical method that learns physically plausible interactions following open-vocabulary instructions. Our approach begins by developing a set of atomic actions via a low-level controller trained via imitation learning. Upon receiving an open-vocabulary textual instruction AnySkill employs a high-level policy that selects and integrates these atomic actions to maximize the CLIP similarity between the agent's rendered images and the text. An important feature of our method is the use of image-based rewards for the high-level policy which allows the agent to learn interactions with objects without manual reward engineering. We demonstrate AnySkill's capability to generate realistic and natural motion sequences in response to unseen instructions of varying lengths marking it the first method capable of open-vocabulary physical skill learning for interactive humanoid agents.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Cui_AnySkill_Learning_Open-Vocabulary_Physical_Skill_for_Interactive_Agents_CVPR_2024_paper.pdf,,2,传统的基于物理学的运动生成方法主要集中在模仿学习和奖励塑造上，往往难以适应新的情景。为了解决这一限制，我们提出了 AnySkill，这是一种新颖的分层方法，通过学习遵循开放词汇指令的物理合理互动。我们的方法首先通过模仿学习训练了一个低层控制器，开发了一组原子动作。在收到一个开放词汇文本指令后，AnySkill利用一个高级策略选择和整合这些原子动作，以最大化代理渲染图像与文本之间的CLIP相似性。我们方法的一个重要特点是高级策略使用基于图像的奖励，这使得代理能够学习与对象的互动而无需手动设计奖励。我们展示了AnySkill生成逼真自然的运动序列的能力，以响应长度不同的未知指令，这使得AnySkill
4,DiverGen: Improving Instance Segmentation by Learning Wider Data Distribution with More Diverse Generative Data,CVPR,2024,"Chengxiang Fan, Muzhi Zhu, Hao Chen, Yang Liu, Weijia Wu, Huaqi Zhang, Chunhua Shen",Instance segmentation is data-hungry and as model capacity increases data scale becomes crucial for improving the accuracy. Most instance segmentation datasets today require costly manual annotation limiting their data scale. Models trained on such data are prone to overfitting on the training set especially for those rare categories. While recent works have delved into exploiting generative models to create synthetic datasets for data augmentation these approaches do not efficiently harness the full potential of generative models. To address these issues we introduce a more efficient strategy to construct generative datasets for data augmentation termed DiverGen. Firstly we provide an explanation of the role of generative data from the perspective of distribution discrepancy. We investigate the impact of different data on the distribution learned by the model. We argue that generative data can expand the data distribution that the model can learn thus mitigating overfitting. Additionally we find that the diversity of generative data is crucial for improving model performance and enhance it through various strategies including category diversity prompt diversity and generative model diversity. With these strategies we can scale the data to millions while maintaining the trend of model performance improvement. On the LVIS dataset DiverGen significantly outperforms the strong model X-Paste achieving +1.1 box AP and +1.1 mask AP across all categories and +1.9 box AP and +2.5 mask AP for rare categories. Our codes are available at https://github.com/aim-uofa/DiverGen.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Fan_DiverGen_Improving_Instance_Segmentation_by_Learning_Wider_Data_Distribution_with_CVPR_2024_paper.pdf,https://github.com/aim-uofa/DiverGen,2,实例分割需要大量数据，随着模型容量的增加，数据规模对提高准确性至关重要。目前大多数实例分割数据集需要昂贵的手工注释，限制了它们的数据规模。在这些数据上训练的模型容易在训练集上过拟合，尤其是对于那些罕见的类别。最近的研究探讨了利用生成模型创建合成数据集进行数据增强，但这些方法并没有有效地发挥生成模型的全部潜力。为了解决这些问题，我们提出了一种更有效的策略，用于构建生成数据集进行数据增强，称为DiverGen。首先，我们从分布差异的角度解释了生成数据的作用。我们研究了不同数据对模型学习的分布的影响。我们认为生成数据可以扩展模型可以学习的数据分布，从而减轻过拟合。此外，我们发现生成数据的多样性对提高模型性
5,Exploring the Potential of Large Foundation Models for Open-Vocabulary HOI Detection,CVPR,2024,"Ting Lei, Shaofeng Yin, Yang Liu",Open-vocabulary human-object interaction (HOI) detection which is concerned with the problem of detecting novel HOIs guided by natural language is crucial for understanding human-centric scenes. However prior zero-shot HOI detectors often employ the same levels of feature maps to model HOIs with varying distances leading to suboptimal performance in scenes containing human-object pairs with a wide range of distances. In addition these detectors primarily rely on category names and overlook the rich contextual information that language can provide which is essential for capturing open vocabulary concepts that are typically rare and not well-represented by category names alone. In this paper we introduce a novel end-to-end open vocabulary HOI detection framework with conditional multi-level decoding and fine-grained semantic enhancement (CMD-SE) harnessing the potential of Visual-Language Models (VLMs). Specifically we propose to model human-object pairs with different distances with different levels of feature maps by incorporating a soft constraint during the bipartite matching process. Furthermore by leveraging large language models (LLMs) such as GPT models we exploit their extensive world knowledge to generate descriptions of human body part states for various interactions. Then we integrate the generalizable and fine-grained semantics of human body parts to improve interaction recognition. Experimental results on two datasets SWIG-HOI and HICO-DET demonstrate that our proposed method achieves state-of-the-art results in open vocabulary HOI detection. The code and models are available at https://github.com/ltttpku/CMD-SE-release.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Lei_Exploring_the_Potential_of_Large_Foundation_Models_for_Open-Vocabulary_HOI_CVPR_2024_paper.pdf,https://github.com/ltttpku/CMD-SE-release,2,本文介绍了一种新颖的端到端开放词汇HOI检测框架，通过条件多级解码和细粒度语义增强（CMD-SE）利用视觉语言模型（VLMs）的潜力。作者提出利用大型语言模型（LLMs）如GPT模型来生成各种互动的人体部位状态描述，进而改进交互识别。在SWIG-HOI和HICO-DET两个数据集上的实验结果表明，我们提出的方法在开放词汇HOI检测方面取得了最先进的结果。
6,Transferable and Principled Efficiency for Open-Vocabulary Segmentation,CVPR,2024,"Jingxuan Xu, Wuyang Chen, Yao Zhao, Yunchao Wei",Recent success of pre-trained foundation vision-language models makes Open-Vocabulary Segmentation (OVS) possible. Despite the promising performance this approach introduces heavy computational overheads for two challenges: 1) large model sizes of the backbone; 2) expensive costs during the fine-tuning. These challenges hinder this OVS strategy from being widely applicable and affordable in real-world scenarios. Although traditional methods such as model compression and efficient fine-tuning can address these challenges they often rely on heuristics. This means that their solutions cannot be easily transferred and necessitate re-training on different models which comes at a cost. In the context of efficient OVS we target achieving performance that is comparable to or even better than prior OVS works based on large vision-language foundation models by utilizing smaller models that incur lower training costs. The core strategy is to make our efficiency principled and thus seamlessly transferable from one OVS framework to others without further customization. Comprehensive experiments on diverse OVS benchmarks demonstrate our superior trade-off between segmentation accuracy and computation costs over previous works. Our code is available on https://github.com/Xujxyang/OpenTrans,,https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_Transferable_and_Principled_Efficiency_for_Open-Vocabulary_Segmentation_CVPR_2024_paper.pdf,https://github.com/Xujxyang/OpenTrans,2,基于最近预训练视觉语言模型的成功，使得开放词汇分割（OVS）成为可能。然而，尽管这种方法表现出色，但却引入了两大挑战：1）主干模型的体积巨大；2）微调过程中的高昂成本。这些挑战妨碍了OVS策略在真实场景中的广泛应用和可负担性。尽管传统方法如模型压缩和高效微调可以解决这些挑战，但它们通常依赖于启发式方法。这意味着它们的解决方案不能轻松转移，并且需要在不同模型上重新训练，这带来了一定成本。在高效OVS的背景下，我们的目标是通过利用训练成本更低的较小模型来实现与基于大型视觉语言基础模型的先前OVS作品相当甚至更好的性能。核心策
7,CLIP as RNN: Segment Countless Visual Concepts without Training Endeavor,CVPR,2024,"Shuyang Sun, Runjia Li, Philip Torr, Xiuye Gu, Siyang Li",Existing open-vocabulary image segmentation methods require a fine-tuning step on mask labels and/or image-text datasets. Mask labels are labor-intensive which limits the number of categories in segmentation datasets. Consequently the vocabulary capacity of pre-trained VLMs is severely reduced after fine-tuning. However without fine-tuning VLMs trained under weak image-text supervision tend to make suboptimal mask predictions. To alleviate these issues we introduce a novel recurrent framework that progressively filters out irrelevant texts and enhances mask quality without training efforts. The recurrent unit is a two-stage segmenter built upon a frozen VLM. Thus our model retains the VLM's broad vocabulary space and equips it with segmentation ability. Experiments show that our method outperforms not only the training-free counterparts but also those fine-tuned with millions of data samples and sets the new state-of-the-art records for both zero-shot semantic and referring segmentation. Concretely we improve the current record by 28.8 16.0 and 6.9 mIoU on Pascal VOC COCO Object and Pascal Context.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Sun_CLIP_as_RNN_Segment_Countless_Visual_Concepts_without_Training_Endeavor_CVPR_2024_paper.pdf,,2,现有的开放词汇图像分割方法需要在掩膜标签和/或图像文本数据集上进行微调。掩膜标签需要大量人工工作，这限制了分割数据集中类别的数量。因此，在微调后，预训练的VLM的词汇容量严重减少。然而，如果不进行微调，受弱图像文本监督训练的VLM往往会产生次优的掩膜预测。为了解决这些问题，我们引入了一种新颖的递归框架，逐渐过滤掉不相关的文本并增强掩膜质量，无需额外的训练工作。递归单元是一个基于冻结VLM构建的两阶段分割器。因此，我们的模型保留了VLM的广泛词汇空间，并赋予了它分割能力。实验证明，我们的方法不仅优于无需训练的对应方法，而且
8,AIDE: An Automatic Data Engine for Object Detection in Autonomous Driving,CVPR,2024,"Mingfu Liang, Jong-Chyi Su, Samuel Schulter, Sparsh Garg, Shiyu Zhao, Ying Wu, Manmohan Chandraker",Autonomous vehicle (AV) systems rely on robust perception models as a cornerstone of safety assurance. However objects encountered on the road exhibit a long-tailed distribution with rare or unseen categories posing challenges to a deployed perception model. This necessitates an expensive process of continuously curating and annotating data with significant human effort. We propose to leverage recent advances in vision-language and large language models to design an Automatic Data Engine (AIDE) that automatically identifies issues efficiently curates data improves the model through auto-labeling and verifies the model through generation of diverse scenarios. This process operates iteratively allowing for continuous self-improvement of the model. We further establish a benchmark for open-world detection on AV datasets to comprehensively evaluate various learning paradigms demonstrating our method's superior performance at a reduced cost.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Liang_AIDE_An_Automatic_Data_Engine_for_Object_Detection_in_Autonomous_CVPR_2024_paper.pdf,,1,自动驾驶车辆（AV）系统依赖稳健的感知模型来确保安全。然而，在道路上遇到的物体呈现出长尾分布，罕见或未知类别给已部署的感知模型带来挑战。这需要一个昂贵的过程，不断地筛选和标注数据，需要大量的人力。我们提出利用视觉-语言和大型语言模型的最新进展，设计一个自动数据引擎（AIDE），通过自动识别问题、高效筛选数据、通过自动标注改进模型，并通过生成多样化场景验证模型。这个过程是迭代进行的，允许模型持续自我改进。我们进一步在AV数据集上建立了一个开放世界检测的基准，全面评估各种学习范式，展示了我们方法在降低成本的同时具有优越性能。
9,Generative Region-Language Pretraining for Open-Ended Object Detection,CVPR,2024,"Chuang Lin, Yi Jiang, Lizhen Qu, Zehuan Yuan, Jianfei Cai",In recent research significant attention has been devoted to the open-vocabulary object detection task aiming to generalize beyond the limited number of classes labeled during training and detect objects described by arbitrary category names at inference. Compared with conventional object detection open vocabulary object detection largely extends the object detection categories. However it relies on calculating the similarity between image regions and a set of arbitrary category names with a pretrained vision-and-language model. This implies that despite its open-set nature the task still needs the predefined object categories during the inference stage. This raises the question: What if we do not have exact knowledge of object categories during inference? In this paper we call such a new setting as generative open-ended object detection which is a more general and practical problem. To address it we formulate object detection as a generative problem and propose a simple framework named GenerateU which can detect dense objects and generate their names in a free-form way. Particularly we employ Deformable DETR as a region proposal generator with a language model translating visual regions to object names. To assess the free-form object detection task we introduce an evaluation method designed to quantitatively measure the performance of generative outcomes. Extensive experiments demonstrate strong zero-shot detection performance of our GenerateU. For example on the LVIS dataset our GenerateU achieves comparable results to the open-vocabulary object detection method GLIP even though the category names are not seen by GenerateU during inference. Code is available at: https://github.com/FoundationVision/GenerateU.,,https://openaccess.thecvf.com/content/CVPR2024/papers/Lin_Generative_Region-Language_Pretraining_for_Open-Ended_Object_Detection_CVPR_2024_paper.pdf,https://github.com/FoundationVision/GenerateU,1,最近的研究中，人们开始关注开放词汇物体检测任务，旨在在推断阶段超越训练过程中标记的有限类别数量，检测由任意类别名称描述的物体。相较于传统的物体检测，开放词汇物体检测大大扩展了物体检测的类别范围。然而，它仍依赖于计算图像区域与一组任意类别名称之间的相似性，使用预训练的视觉-语言模型。这意味着，尽管具有开放性，该任务在推断阶段仍需要预定义的物体类别。提出了一个新的设置，称为生成开放式物体检测，这是一个更一般且实际的问题。我们将物体检测视为一个生成问题，并提出了一个名为GenerateU的简单框架，可以以自由形式检测出密集物体并生成它们的名称。我们特别使用可变形DETR作为区域提
